INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
index	class	quality	type	Medindex	资源	name$1$	说明文字$1$	等级	基本价格	出售价格	适应规则	叠放数量	脚本编号	技能编号	是否消耗	需求技能	需求技能等级	最大持有数量	选择对象类型	类型描述$1$	档次等级	配方id	颜色	SubClass	是否广播
20005020	2	0	5	20	OtherTools2_14	未知物品	未知物品	1	10	2	4	20	-1	-1	1	8	1	-1	-1	未知物品	1	0	2000	-1	0
20101000	2	1	1	0	XinFa1_7	藏宝图（废弃）	藏宝图	1	0	0	4	1	-1	-1	1	8	1	-1	-1	银票	1	0	2000	-1	0
20101001	2	1	1	1	Herbal1_1	白英	茄科植物。味苦、辛、微寒，入肝、胆经。有清热，利湿，祛风，解毒，消肿的功效。可用于制药等。	1	375	10	4	40	-1	-1	1	8	1	-1	-1	初级药材	1	0	2000	-1	0
20101002	2	1	1	2	Herbal1_2	蒲黄	香蒲科植物。味甘平，入肝、心经。有收敛止血，活血祛瘀的功效。可用于制药等。	1	625	10	4	40	-1	-1	1	8	1	-1	-1	初级药材	1	0	2000	-1	0
20101003	2	1	1	3	Herbal2_2	川贝	百合科植物。鳞茎干燥，味甘而补。有止咳，平肝，理气的功效。可用于制药等。	2	625	20	4	40	-1	-1	1	8	2	-1	-1	初级药材	2	0	2000	-1	0
20101004	2	1	1	4	Herbal1_6	元胡	罂粟科植物，别名延胡索。块茎供药用，有活血化瘀、理气止痛之功效。可用于制药等。	2	875	20	4	40	-1	-1	1	8	2	-1	-1	初级药材	2	0	2000	-1	0
20101005	2	1	1	5	Herbal1_8	枇杷	蔷薇科植物。叶可入药，性平，味苦，有清肺下气，和胃降逆，治疗肺热咳嗽，呕吐的功效。可用于制药等。	3	875	30	4	40	-1	-1	1	8	3	-1	-1	初级药材	3	0	2000	-1	0
20101006	2	1	1	6	Herbal2_4	甘草	豆科植物。性平，味甘，有解毒、祛痰、止痛、解痉以至抗癌的功效。可用于制药等。	3	875	30	4	40	-1	-1	1	8	3	-1	-1	初级药材	3	0	2000	-1	0
20101007	2	1	1	7	Herbal1_10	金银花	忍科植物。味甘，寒，入肺、心、胃经。有清热解毒，凉散风热的功效。可用于制药等。	3	1125	30	4	40	-1	-1	1	8	3	-1	-1	初级药材	3	0	2000	-1	0
20101008	2	1	1	8	Herbal1_16	黄芩	唇形科植物。味苦，寒，入肺、胆、脾、大肠、小肠经。有清热燥湿，泻火解毒，止血，安胎的功效。可用于制药等。	4	1125	40	4	40	-1	-1	1	8	4	-1	-1	中级药材	4	0	2000	-1	0
20101009	2	1	1	9	Herbal1_9	枸杞	茄科植物。味甘，有滋补肝肾，明目，益面色，长肌肉，坚筋骨的功效。可用于制药等。	4	1125	40	4	40	-1	-1	1	8	4	-1	-1	中级药材	4	0	2000	-1	0
20101010	2	1	1	10	Herbal1_3	沉香	双子叶科植物。味辛、苦，温，入肾、脾、胃经。有行气止痛，温中止呕，纳气平喘的功效。可用于制药等。	4	1375	40	4	40	-1	-1	1	8	4	-1	-1	中级药材	4	0	2000	-1	0
20101011	2	1	1	11	Herbal1_11	杜仲	杜仲科植物。味甘微辛，温，入肝、肾经。主治腰脊疼痛，足膝酸楚等。可用于制药等。	5	1375	50	4	40	-1	-1	1	8	5	-1	-1	中级药材	5	0	2000	-1	0
